,no-aspect,no-sentiment,yes-aspect,yes-sentiment,Total,fileId,iId
135_18,0,1,2,1,4,135,18
135_19,0,1,2,1,4,135,19
137_0,0,1,2,1,4,137,0
137_1,0,1,2,1,4,137,1
137_2,0,1,2,1,4,137,2
137_4,0,1,2,1,4,137,4
137_5,0,1,2,1,4,137,5
137_6,0,1,2,1,4,137,6
137_7,0,1,2,1,4,137,7
137_8,0,1,2,1,4,137,8
137_9,0,1,2,1,4,137,9
137_13,0,1,2,1,4,137,13
139_2,0,1,2,1,4,139,2
139_4,1,0,1,2,4,139,4
139_7,1,0,1,2,4,139,7
139_10,2,1,0,1,4,139,10
139_11,0,1,2,1,4,139,11
139_13,1,1,1,1,4,139,13
139_15,0,1,2,1,4,139,15
139_17,0,1,2,1,4,139,17
139_18,0,1,2,1,4,139,18
139_19,1,1,1,1,4,139,19
140_9,0,1,2,1,4,140,9
140_10,0,1,2,1,4,140,10
140_11,0,1,2,1,4,140,11
140_12,0,1,2,1,4,140,12
140_13,0,1,2,1,4,140,13
140_14,0,1,2,1,4,140,14
140_15,0,1,2,1,4,140,15
140_16,0,1,2,1,4,140,16
140_17,0,1,2,1,4,140,17
140_18,0,1,2,1,4,140,18
140_19,0,1,2,1,4,140,19
141_9,0,1,2,1,4,141,9
141_14,1,0,1,2,4,141,14
141_15,1,0,1,2,4,141,15
141_16,1,0,1,2,4,141,16
141_19,1,1,1,1,4,141,19
141_20,0,1,2,1,4,141,20
141_21,0,1,2,1,4,141,21
141_22,0,1,2,1,4,141,22
141_23,0,1,2,1,4,141,23
141_24,0,1,2,1,4,141,24
141_25,2,1,0,1,4,141,25
141_26,0,1,2,1,4,141,26
141_27,2,1,0,1,4,141,27
141_28,2,1,0,1,4,141,28
141_29,0,1,2,1,4,141,29
142_10,0,1,2,1,4,142,10
142_11,0,1,2,1,4,142,11
142_12,0,1,2,1,4,142,12
142_13,0,1,2,1,4,142,13
142_15,0,1,2,1,4,142,15
142_17,0,1,2,1,4,142,17
142_18,0,1,2,1,4,142,18
142_19,0,1,2,1,4,142,19
143_0,0,1,2,1,4,143,0
143_1,0,1,2,1,4,143,1
143_2,0,1,2,1,4,143,2
143_3,0,1,2,1,4,143,3
143_4,0,1,2,1,4,143,4
143_5,0,1,2,1,4,143,5
143_6,0,1,2,1,4,143,6
143_9,0,1,2,1,4,143,9
144_0,0,1,2,1,4,144,0
144_2,0,1,2,1,4,144,2
144_3,0,1,2,1,4,144,3
144_4,0,1,2,1,4,144,4
144_5,0,1,2,1,4,144,5
144_7,0,1,2,1,4,144,7
144_8,1,1,1,1,4,144,8
144_9,1,1,1,1,4,144,9
145_0,1,0,1,2,4,145,0
145_1,1,0,1,2,4,145,1
145_10,0,1,2,1,4,145,10
145_11,0,1,2,1,4,145,11
145_12,0,1,2,1,4,145,12
145_13,1,0,1,2,4,145,13
145_14,0,1,2,1,4,145,14
145_15,0,1,2,1,4,145,15
145_17,0,1,2,1,4,145,17
145_18,0,1,2,1,4,145,18
146_1,2,1,0,1,4,146,1
146_2,2,1,0,1,4,146,2
146_3,1,1,1,1,4,146,3
146_5,1,1,1,1,4,146,5
146_6,1,1,1,1,4,146,6
146_7,1,1,1,1,4,146,7
146_8,2,1,0,1,4,146,8
146_9,2,1,0,1,4,146,9
147_0,1,0,1,2,4,147,0
147_3,0,1,2,1,4,147,3
147_4,2,1,0,1,4,147,4
147_10,0,1,2,1,4,147,10
147_12,1,1,1,1,4,147,12
147_13,1,0,1,2,4,147,13
148_0,0,1,2,1,4,148,0
148_1,0,1,2,1,4,148,1
149_0,0,1,2,1,4,149,0
149_1,0,1,2,1,4,149,1
149_4,1,1,1,1,4,149,4
149_5,0,1,2,1,4,149,5
149_7,0,1,2,1,4,149,7
149_8,0,1,2,1,4,149,8
149_9,1,1,1,1,4,149,9
149_12,1,1,1,1,4,149,12
149_17,2,1,0,1,4,149,17
150_0,2,1,0,1,4,150,0
150_1,0,1,2,1,4,150,1
150_3,0,1,2,1,4,150,3
150_4,0,1,2,1,4,150,4
150_5,0,1,2,1,4,150,5
150_6,2,1,0,1,4,150,6
150_7,0,1,2,1,4,150,7
150_8,0,1,2,1,4,150,8
150_9,0,1,2,1,4,150,9
150_15,1,2,1,0,4,150,15
150_19,0,1,2,1,4,150,19
150_20,0,1,2,1,4,150,20
150_22,0,1,2,1,4,150,22
150_24,0,1,2,1,4,150,24
150_25,0,1,2,1,4,150,25
150_26,0,1,2,1,4,150,26
150_27,2,1,0,1,4,150,27
150_28,0,1,2,1,4,150,28
150_29,0,1,2,1,4,150,29
150_30,0,1,2,1,4,150,30
150_31,0,1,2,1,4,150,31
150_32,0,1,2,1,4,150,32
150_33,0,1,2,1,4,150,33
150_34,0,1,2,1,4,150,34
151_0,0,1,2,1,4,151,0
151_1,0,1,2,1,4,151,1
151_2,1,1,1,1,4,151,2
151_3,0,1,2,1,4,151,3
151_4,0,1,2,1,4,151,4
151_5,1,1,1,1,4,151,5
151_6,1,1,1,1,4,151,6
151_9,0,1,2,1,4,151,9
151_10,1,1,1,1,4,151,10
151_15,1,1,1,1,4,151,15
152_0,1,0,1,2,4,152,0
152_1,0,1,2,1,4,152,1
152_2,0,1,2,1,4,152,2
152_3,0,1,2,1,4,152,3
152_4,0,1,2,1,4,152,4
152_6,0,1,2,1,4,152,6
152_7,0,1,2,1,4,152,7
152_8,0,1,2,1,4,152,8
152_9,0,1,2,1,4,152,9
153_10,0,1,2,1,4,153,10
153_11,0,1,2,1,4,153,11
153_12,0,1,2,1,4,153,12
153_13,0,1,2,1,4,153,13
153_14,2,1,0,1,4,153,14
153_15,0,1,2,1,4,153,15
153_17,0,1,2,1,4,153,17
153_18,0,1,2,1,4,153,18
153_19,0,1,2,1,4,153,19
155_0,0,1,2,1,4,155,0
155_1,0,1,2,1,4,155,1
155_2,0,1,2,1,4,155,2
155_3,0,1,2,1,4,155,3
155_4,0,1,2,1,4,155,4
155_5,0,1,2,1,4,155,5
155_6,0,1,2,1,4,155,6
155_7,0,1,2,1,4,155,7
155_8,0,1,2,1,4,155,8
155_9,0,1,2,1,4,155,9
156_11,0,1,2,1,4,156,11
156_14,1,2,1,0,4,156,14
156_15,0,1,2,1,4,156,15
156_19,0,1,2,1,4,156,19
156_20,0,1,2,1,4,156,20
156_21,0,1,2,1,4,156,21
156_22,0,1,2,1,4,156,22
156_23,1,1,1,1,4,156,23
156_24,0,1,2,1,4,156,24
156_25,1,1,1,1,4,156,25
156_26,0,1,2,1,4,156,26
156_28,0,1,2,1,4,156,28
156_29,0,1,2,1,4,156,29
157_11,0,1,2,1,4,157,11
157_14,1,1,1,1,4,157,14
157_18,1,1,1,1,4,157,18
158_5,1,1,1,1,4,158,5
158_13,0,1,2,1,4,158,13
158_15,1,1,1,1,4,158,15
158_18,1,1,1,1,4,158,18
159_5,1,0,1,2,4,159,5
159_6,1,0,1,2,4,159,6
159_7,1,0,1,2,4,159,7
159_9,1,0,1,2,4,159,9
159_10,1,0,1,2,4,159,10
159_15,1,0,1,2,4,159,15
159_16,1,1,1,1,4,159,16
159_17,1,1,1,1,4,159,17
159_18,1,2,1,0,4,159,18
160_12,1,2,1,0,4,160,12
160_16,2,1,0,1,4,160,16
160_17,1,2,1,0,4,160,17
160_18,1,1,1,1,4,160,18
162_20,0,1,2,1,4,162,20
162_22,0,1,2,1,4,162,22
162_24,0,1,2,1,4,162,24
162_26,1,2,1,0,4,162,26
163_8,0,1,2,1,4,163,8
164_0,2,1,0,1,4,164,0
164_1,2,1,0,1,4,164,1
164_3,0,1,2,1,4,164,3
164_6,0,1,2,1,4,164,6
164_8,1,1,1,1,4,164,8
164_10,0,1,2,1,4,164,10
164_11,0,1,2,1,4,164,11
164_12,1,2,1,0,4,164,12
164_13,0,1,2,1,4,164,13
164_15,1,1,1,1,4,164,15
164_16,1,1,1,1,4,164,16
164_17,0,1,2,1,4,164,17
164_18,1,1,1,1,4,164,18
164_19,0,1,2,1,4,164,19
166_0,0,1,2,1,4,166,0
166_2,0,1,2,1,4,166,2
166_3,0,1,2,1,4,166,3
166_4,0,1,2,1,4,166,4
166_7,0,1,2,1,4,166,7
166_8,0,1,2,1,4,166,8
167_0,0,1,2,1,4,167,0
167_1,0,1,2,1,4,167,1
167_2,0,1,2,1,4,167,2
167_3,1,1,1,1,4,167,3
167_4,0,1,2,1,4,167,4
167_5,0,1,2,1,4,167,5
167_8,0,1,2,1,4,167,8
167_9,0,1,2,1,4,167,9
167_13,1,1,1,1,4,167,13
167_15,2,1,0,1,4,167,15
167_17,1,1,1,1,4,167,17
167_18,1,1,1,1,4,167,18
168_5,0,1,2,1,4,168,5
168_6,0,1,2,1,4,168,6
168_9,0,1,2,1,4,168,9
168_15,1,0,1,2,4,168,15
168_16,1,1,1,1,4,168,16
168_18,1,0,1,2,4,168,18
169_0,1,1,1,1,4,169,0
169_9,0,1,2,1,4,169,9
170_2,0,1,2,1,4,170,2
170_15,1,1,1,1,4,170,15
170_18,1,1,1,1,4,170,18
170_19,1,0,1,2,4,170,19
170_22,1,2,1,0,4,170,22
170_23,1,0,1,2,4,170,23
170_29,2,1,0,1,4,170,29
171_2,0,1,2,1,4,171,2
171_4,0,1,2,1,4,171,4
171_6,1,0,1,2,4,171,6
171_11,1,0,1,2,4,171,11
173_1,0,1,2,1,4,173,1
173_4,1,0,1,2,4,173,4
173_6,0,1,2,1,4,173,6
173_7,1,0,1,2,4,173,7
173_9,0,1,2,1,4,173,9
174_1,1,2,1,0,4,174,1
174_2,0,1,2,1,4,174,2
174_3,0,1,2,1,4,174,3
174_5,1,1,1,1,4,174,5
174_9,1,0,1,2,4,174,9
174_18,1,0,1,2,4,174,18
174_19,1,0,1,2,4,174,19
175_2,1,0,1,2,4,175,2
175_8,0,1,2,1,4,175,8
175_17,1,0,1,2,4,175,17
176_3,1,1,1,1,4,176,3
176_7,1,1,1,1,4,176,7
176_8,1,0,1,2,4,176,8
176_9,1,2,1,0,4,176,9
176_11,1,0,1,2,4,176,11
176_18,1,0,1,2,4,176,18
177_2,1,1,1,1,4,177,2
177_3,0,1,2,1,4,177,3
177_6,0,1,2,1,4,177,6
177_9,0,1,2,1,4,177,9
177_12,1,0,1,2,4,177,12
177_15,1,0,1,2,4,177,15
178_1,0,1,2,1,4,178,1
178_8,0,1,2,1,4,178,8
178_13,1,0,1,2,4,178,13
178_17,1,0,1,2,4,178,17
179_3,0,1,2,1,4,179,3
179_5,1,0,1,2,4,179,5
179_6,0,1,2,1,4,179,6
179_19,1,0,1,2,4,179,19
179_25,0,1,2,1,4,179,25
179_26,0,1,2,1,4,179,26
180_3,1,0,1,2,4,180,3
180_11,0,1,2,1,4,180,11
180_15,0,1,2,1,4,180,15
180_18,0,1,2,1,4,180,18
181_7,1,0,1,2,4,181,7
181_10,0,1,2,1,4,181,10
181_14,0,1,2,1,4,181,14
181_23,0,1,2,1,4,181,23
181_28,0,1,2,1,4,181,28
182_8,0,1,2,1,4,182,8
182_9,1,0,1,2,4,182,9
182_11,0,1,2,1,4,182,11
182_12,1,1,1,1,4,182,12
182_13,0,1,2,1,4,182,13
183_1,0,1,2,1,4,183,1
183_4,1,0,1,2,4,183,4
183_5,1,1,1,1,4,183,5
184_2,2,1,0,1,4,184,2
184_5,1,0,1,2,4,184,5
184_10,1,0,1,2,4,184,10
184_18,1,0,1,2,4,184,18
184_19,1,1,1,1,4,184,19
185_0,0,1,2,1,4,185,0
185_3,1,0,1,2,4,185,3
185_9,2,1,0,1,4,185,9
186_0,1,0,1,2,4,186,0
186_1,2,1,0,1,4,186,1
186_4,1,1,1,1,4,186,4
186_5,1,2,1,0,4,186,5
186_7,2,1,0,1,4,186,7
186_9,2,1,0,1,4,186,9
186_18,1,1,1,1,4,186,18
186_21,1,1,1,1,4,186,21
186_22,1,1,1,1,4,186,22
186_23,0,1,2,1,4,186,23
186_24,2,1,0,1,4,186,24
186_27,1,1,1,1,4,186,27
187_2,1,1,1,1,4,187,2
187_3,1,0,1,2,4,187,3
187_5,1,0,1,2,4,187,5
187_7,0,1,2,1,4,187,7
187_8,1,0,1,2,4,187,8
187_9,1,0,1,2,4,187,9
187_12,1,0,1,2,4,187,12
187_17,1,0,1,2,4,187,17
187_19,1,0,1,2,4,187,19
188_3,1,2,1,0,4,188,3
188_5,2,1,0,1,4,188,5
188_11,2,1,0,1,4,188,11
188_15,1,0,1,2,4,188,15
188_22,0,1,2,1,4,188,22
188_26,1,2,1,0,4,188,26
188_29,0,1,2,1,4,188,29
189_1,1,0,1,2,4,189,1
189_3,1,0,1,2,4,189,3
189_5,1,1,1,1,4,189,5
189_6,2,1,0,1,4,189,6
189_9,1,0,1,2,4,189,9
189_19,1,0,1,2,4,189,19
189_21,1,0,1,2,4,189,21
189_22,1,0,1,2,4,189,22
189_25,1,0,1,2,4,189,25
189_28,1,0,1,2,4,189,28
190_9,1,1,1,1,4,190,9
190_20,1,0,1,2,4,190,20
190_21,0,1,2,1,4,190,21
190_22,1,0,1,2,4,190,22
190_23,1,0,1,2,4,190,23
190_25,0,1,2,1,4,190,25
190_32,0,1,2,1,4,190,32
191_5,1,0,1,2,4,191,5
191_12,0,1,2,1,4,191,12
192_0,1,0,1,2,4,192,0
192_4,1,0,1,2,4,192,4
192_5,1,0,1,2,4,192,5
193_3,1,0,1,2,4,193,3
193_9,1,0,1,2,4,193,9
195_6,1,0,1,2,4,195,6
195_12,1,0,1,2,4,195,12
195_18,0,1,2,1,4,195,18
195_20,1,2,1,0,4,195,20
195_22,1,0,1,2,4,195,22
195_23,0,1,2,1,4,195,23
195_24,0,1,2,1,4,195,24
195_27,0,1,2,1,4,195,27
195_31,0,1,2,1,4,195,31
196_0,0,1,2,1,4,196,0
196_2,0,1,2,1,4,196,2
196_7,0,1,2,1,4,196,7
197_1,0,1,2,1,4,197,1
197_4,1,0,1,2,4,197,4
197_5,1,1,1,1,4,197,5
197_7,1,0,1,2,4,197,7
197_8,0,1,2,1,4,197,8
197_9,2,1,0,1,4,197,9
197_14,1,1,1,1,4,197,14
197_19,1,0,1,2,4,197,19
200_0,0,1,2,1,4,200,0
200_2,1,1,1,1,4,200,2
200_7,1,0,1,2,4,200,7
200_15,1,0,1,2,4,200,15
200_16,0,1,2,1,4,200,16
200_20,0,1,2,1,4,200,20
200_25,1,1,1,1,4,200,25
200_26,1,0,1,2,4,200,26
200_27,1,0,1,2,4,200,27
201_2,1,0,1,2,4,201,2
201_14,1,0,1,2,4,201,14
201_15,2,1,0,1,4,201,15
201_17,1,0,1,2,4,201,17
202_0,1,0,1,2,4,202,0
202_4,1,0,1,2,4,202,4
202_5,1,0,1,2,4,202,5
202_8,0,1,2,1,4,202,8
202_9,1,1,1,1,4,202,9
202_11,1,0,1,2,4,202,11
202_17,0,1,2,1,4,202,17
202_19,1,2,1,0,4,202,19
203_0,1,0,1,2,4,203,0
203_10,0,1,2,1,4,203,10
203_15,0,1,2,1,4,203,15
204_0,0,1,2,1,4,204,0
204_2,1,0,1,2,4,204,2
204_3,1,0,1,2,4,204,3
204_5,1,2,1,0,4,204,5
204_6,1,0,1,2,4,204,6
204_12,1,0,1,2,4,204,12
204_15,1,0,1,2,4,204,15
204_17,1,0,1,2,4,204,17
205_1,0,1,2,1,4,205,1
205_6,0,1,2,1,4,205,6
205_11,1,0,1,2,4,205,11
205_14,1,0,1,2,4,205,14
205_18,1,2,1,0,4,205,18
205_22,2,1,0,1,4,205,22
205_24,1,2,1,0,4,205,24
205_30,1,1,1,1,4,205,30
205_37,0,1,2,1,4,205,37
205_39,1,2,1,0,4,205,39
205_42,0,1,2,1,4,205,42
205_43,1,2,1,0,4,205,43
207_0,1,0,1,2,4,207,0
207_2,1,2,1,0,4,207,2
207_7,1,1,1,1,4,207,7
207_8,0,1,2,1,4,207,8
207_16,1,0,1,2,4,207,16
208_0,1,0,1,2,4,208,0
208_4,1,0,1,2,4,208,4
208_5,1,0,1,2,4,208,5
208_9,1,0,1,2,4,208,9
208_16,0,1,2,1,4,208,16
208_18,1,2,1,0,4,208,18
209_2,1,0,1,2,4,209,2
209_11,1,0,1,2,4,209,11
210_2,0,1,2,1,4,210,2
210_8,1,1,1,1,4,210,8
210_10,1,2,1,0,4,210,10
210_12,0,1,2,1,4,210,12
210_13,0,1,2,1,4,210,13
210_14,0,1,2,1,4,210,14
210_15,1,1,1,1,4,210,15
210_16,1,1,1,1,4,210,16
210_17,1,2,1,0,4,210,17
210_18,1,1,1,1,4,210,18
210_19,0,1,2,1,4,210,19
211_0,1,1,1,1,4,211,0
211_5,1,0,1,2,4,211,5
211_6,1,0,1,2,4,211,6
211_7,1,0,1,2,4,211,7
211_8,1,0,1,2,4,211,8
211_9,1,0,1,2,4,211,9
211_10,0,1,2,1,4,211,10
211_11,1,1,1,1,4,211,11
211_12,1,1,1,1,4,211,12
211_13,0,1,2,1,4,211,13
211_14,1,1,1,1,4,211,14
211_15,0,1,2,1,4,211,15
211_16,2,1,0,1,4,211,16
211_17,1,1,1,1,4,211,17
211_19,1,1,1,1,4,211,19
213_2,0,1,2,1,4,213,2
213_3,0,1,2,1,4,213,3
213_4,1,1,1,1,4,213,4
213_5,1,0,1,2,4,213,5
213_6,1,2,1,0,4,213,6
213_7,1,1,1,1,4,213,7
213_8,1,0,1,2,4,213,8
213_9,2,1,0,1,4,213,9
213_10,2,1,0,1,4,213,10
213_11,1,1,1,1,4,213,11
213_12,2,1,0,1,4,213,12
213_13,1,1,1,1,4,213,13
214_0,1,0,1,2,4,214,0
214_4,1,0,1,2,4,214,4
214_10,0,1,2,1,4,214,10
214_11,2,1,0,1,4,214,11
214_12,2,1,0,1,4,214,12
214_13,0,1,2,1,4,214,13
214_14,0,1,2,1,4,214,14
214_15,1,1,1,1,4,214,15
214_16,1,1,1,1,4,214,16
214_18,2,1,0,1,4,214,18
214_19,2,1,0,1,4,214,19
214_20,2,1,0,1,4,214,20
214_22,1,0,1,2,4,214,22
214_23,2,1,0,1,4,214,23
214_24,2,1,0,1,4,214,24
215_4,2,1,0,1,4,215,4
215_6,2,1,0,1,4,215,6
215_7,1,0,1,2,4,215,7
215_10,1,1,1,1,4,215,10
215_11,0,1,2,1,4,215,11
215_12,1,0,1,2,4,215,12
215_13,1,1,1,1,4,215,13
215_14,1,1,1,1,4,215,14
215_15,2,1,0,1,4,215,15
215_16,1,0,1,2,4,215,16
215_17,2,1,0,1,4,215,17
216_2,1,1,1,1,4,216,2
217_1,0,1,2,1,4,217,1
217_2,0,1,2,1,4,217,2
217_4,0,1,2,1,4,217,4
217_6,1,1,1,1,4,217,6
217_7,0,1,2,1,4,217,7
217_8,0,1,2,1,4,217,8
217_13,1,1,1,1,4,217,13
217_19,0,1,2,1,4,217,19
220_0,0,1,2,1,4,220,0
220_1,0,1,2,1,4,220,1
220_2,0,1,2,1,4,220,2
220_3,0,1,2,1,4,220,3
220_4,0,1,2,1,4,220,4
220_5,0,1,2,1,4,220,5
220_7,1,2,1,0,4,220,7
220_8,1,1,1,1,4,220,8
220_9,0,1,2,1,4,220,9
220_15,1,1,1,1,4,220,15
221_0,0,1,2,1,4,221,0
221_3,0,1,2,1,4,221,3
221_4,0,1,2,1,4,221,4
221_5,0,1,2,1,4,221,5
221_6,0,1,2,1,4,221,6
221_7,0,1,2,1,4,221,7
221_8,1,1,1,1,4,221,8
221_9,1,1,1,1,4,221,9
225_1,0,1,2,1,4,225,1
225_3,0,1,2,1,4,225,3
225_5,0,1,2,1,4,225,5
225_6,0,1,2,1,4,225,6
225_8,1,2,1,0,4,225,8
225_9,0,1,2,1,4,225,9
225_12,0,1,2,1,4,225,12
225_14,0,1,2,1,4,225,14
227_3,0,1,2,1,4,227,3
227_12,1,1,1,1,4,227,12
228_0,1,1,1,1,4,228,0
228_1,0,1,2,1,4,228,1
228_2,1,1,1,1,4,228,2
228_3,0,1,2,1,4,228,3
228_4,0,1,2,1,4,228,4
228_5,0,1,2,1,4,228,5
228_6,0,1,2,1,4,228,6
228_8,0,1,2,1,4,228,8
228_12,1,0,1,2,4,228,12
228_13,1,0,1,2,4,228,13
228_16,1,0,1,2,4,228,16
228_19,1,1,1,1,4,228,19
228_20,0,1,2,1,4,228,20
228_21,0,1,2,1,4,228,21
228_23,0,1,2,1,4,228,23
228_25,0,1,2,1,4,228,25
228_27,0,1,2,1,4,228,27
228_28,1,1,1,1,4,228,28
228_29,0,1,2,1,4,228,29
228_33,1,0,1,2,4,228,33
228_37,1,0,1,2,4,228,37
228_39,1,0,1,2,4,228,39
228_42,0,1,2,1,4,228,42
228_45,0,1,2,1,4,228,45
229_0,0,1,2,1,4,229,0
229_5,0,1,2,1,4,229,5
229_9,0,1,2,1,4,229,9
229_10,0,1,2,1,4,229,10
229_16,0,1,2,1,4,229,16
229_18,0,1,2,1,4,229,18
229_20,1,1,1,1,4,229,20
229_21,0,1,2,1,4,229,21
229_22,1,1,1,1,4,229,22
229_25,0,1,2,1,4,229,25
229_26,0,1,2,1,4,229,26
229_29,0,1,2,1,4,229,29
229_30,0,1,2,1,4,229,30
229_31,1,1,1,1,4,229,31
229_33,1,1,1,1,4,229,33
229_34,0,1,2,1,4,229,34
229_35,1,1,1,1,4,229,35
229_36,1,1,1,1,4,229,36
230_3,0,1,2,1,4,230,3
230_4,1,1,1,1,4,230,4
230_5,0,1,2,1,4,230,5
230_6,0,1,2,1,4,230,6
230_7,0,1,2,1,4,230,7
230_8,1,1,1,1,4,230,8
230_9,0,1,2,1,4,230,9
230_10,1,0,1,2,4,230,10
231_0,0,1,2,1,4,231,0
231_2,0,1,2,1,4,231,2
231_3,0,1,2,1,4,231,3
231_4,1,1,1,1,4,231,4
231_5,0,1,2,1,4,231,5
231_6,0,1,2,1,4,231,6
231_7,0,1,2,1,4,231,7
231_8,1,0,1,2,4,231,8
231_9,0,1,2,1,4,231,9
234_0,1,0,1,2,4,234,0
234_3,1,1,1,1,4,234,3
234_4,1,1,1,1,4,234,4
234_5,1,2,1,0,4,234,5
234_7,2,1,0,1,4,234,7
234_8,1,2,1,0,4,234,8
234_11,1,1,1,1,4,234,11
234_13,1,0,1,2,4,234,13
234_19,1,0,1,2,4,234,19
237_1,0,1,2,1,4,237,1
237_4,1,0,1,2,4,237,4
237_9,1,0,1,2,4,237,9
237_10,0,1,2,1,4,237,10
237_11,0,1,2,1,4,237,11
237_12,0,1,2,1,4,237,12
237_13,1,2,1,0,4,237,13
237_14,1,1,1,1,4,237,14
237_15,1,1,1,1,4,237,15
237_16,0,1,2,1,4,237,16
237_17,0,1,2,1,4,237,17
237_20,1,2,1,0,4,237,20
237_27,1,2,1,0,4,237,27
238_0,0,1,1,0,2,238,0
238_1,0,0,1,1,2,238,1
238_2,0,0,1,1,2,238,2
238_3,0,0,1,1,2,238,3
238_4,0,0,1,1,2,238,4
238_5,0,0,1,1,2,238,5
238_6,0,1,1,0,2,238,6
238_7,0,0,1,1,2,238,7
238_8,1,1,0,0,2,238,8
238_9,0,0,1,1,2,238,9
238_10,0,0,1,1,2,238,10
238_11,1,0,0,1,2,238,11
238_12,0,0,1,1,2,238,12
238_13,0,0,1,1,2,238,13
238_14,1,0,0,1,2,238,14
238_15,0,1,1,0,2,238,15
238_16,1,0,0,1,2,238,16
238_17,0,0,1,1,2,238,17
238_18,0,0,1,1,2,238,18
238_19,0,0,1,1,2,238,19
238_20,1,0,0,1,2,238,20
238_21,1,0,0,1,2,238,21
238_22,0,1,1,0,2,238,22
238_23,0,1,1,0,2,238,23
238_24,0,0,1,1,2,238,24
238_25,1,1,0,0,2,238,25
238_26,1,1,0,0,2,238,26
238_27,0,1,1,0,2,238,27
238_28,0,0,1,1,2,238,28
238_29,0,0,1,1,2,238,29
239_0,1,2,1,0,4,239,0
239_4,0,1,2,1,4,239,4
239_8,0,1,2,1,4,239,8
239_9,1,0,1,2,4,239,9
239_13,0,1,2,1,4,239,13
241_2,0,1,2,1,4,241,2
241_8,0,1,2,1,4,241,8
241_9,0,1,2,1,4,241,9
241_10,1,1,1,1,4,241,10
241_11,0,1,2,1,4,241,11
241_12,0,1,2,1,4,241,12
241_13,0,1,2,1,4,241,13
241_14,0,1,2,1,4,241,14
241_15,0,1,2,1,4,241,15
241_16,0,1,2,1,4,241,16
243_0,1,0,1,2,4,243,0
243_1,1,0,1,2,4,243,1
243_2,1,0,1,2,4,243,2
243_4,1,2,1,0,4,243,4
243_5,0,1,2,1,4,243,5
243_6,1,0,1,2,4,243,6
243_7,1,0,1,2,4,243,7
243_8,0,1,2,1,4,243,8
243_9,1,0,1,2,4,243,9
244_3,1,0,1,2,4,244,3
244_7,1,0,1,2,4,244,7
244_8,0,1,2,1,4,244,8
244_11,2,1,0,1,4,244,11
244_12,0,1,2,1,4,244,12
244_13,2,1,0,1,4,244,13
244_14,1,1,1,1,4,244,14
244_15,0,1,2,1,4,244,15
244_16,1,1,1,1,4,244,16
245_7,1,2,1,0,4,245,7
245_9,1,2,1,0,4,245,9
245_10,1,1,1,1,4,245,10
245_13,0,1,2,1,4,245,13
246_0,0,1,2,1,4,246,0
246_1,0,1,2,1,4,246,1
246_2,0,1,2,1,4,246,2
246_4,0,1,2,1,4,246,4
246_5,0,1,2,1,4,246,5
246_6,0,1,2,1,4,246,6
246_7,0,1,2,1,4,246,7
246_8,0,1,2,1,4,246,8
246_9,0,1,2,1,4,246,9
250_0,1,0,1,2,4,250,0
250_2,1,0,1,2,4,250,2
250_3,1,0,1,2,4,250,3
250_4,1,0,1,2,4,250,4
250_8,1,2,1,0,4,250,8
250_10,0,1,2,1,4,250,10
250_14,0,1,2,1,4,250,14
250_17,0,1,2,1,4,250,17
251_0,0,0,1,1,2,251,0
251_1,1,0,0,1,2,251,1
251_2,0,0,1,1,2,251,2
251_3,0,0,1,1,2,251,3
251_5,0,1,1,0,2,251,5
251_6,0,1,1,0,2,251,6
251_7,0,0,1,1,2,251,7
251_8,0,0,1,1,2,251,8
251_9,0,0,1,1,2,251,9
251_10,0,0,1,1,2,251,10
251_11,0,0,1,1,2,251,11
251_12,0,1,1,0,2,251,12
251_13,0,0,1,1,2,251,13
251_15,0,0,1,1,2,251,15
251_16,0,0,1,1,2,251,16
251_17,0,0,1,1,2,251,17
251_18,0,0,1,1,2,251,18
251_19,0,0,1,1,2,251,19
252_3,1,0,1,2,4,252,3
252_9,1,0,1,2,4,252,9
253_0,0,1,2,1,4,253,0
253_9,0,1,2,1,4,253,9
253_19,1,1,1,1,4,253,19
255_0,0,1,2,1,4,255,0
255_1,0,1,2,1,4,255,1
255_2,0,1,2,1,4,255,2
255_3,0,1,2,1,4,255,3
255_6,1,2,1,0,4,255,6
255_7,1,1,1,1,4,255,7
255_9,1,0,1,2,4,255,9
255_14,0,1,2,1,4,255,14
256_1,1,0,1,2,4,256,1
256_3,1,1,1,1,4,256,3
256_6,1,1,1,1,4,256,6
256_7,1,0,1,2,4,256,7
256_8,1,0,1,2,4,256,8
256_9,1,1,1,1,4,256,9
256_10,1,0,1,2,4,256,10
256_11,1,0,1,2,4,256,11
256_12,1,0,1,2,4,256,12
256_13,1,2,1,0,4,256,13
256_14,1,0,1,2,4,256,14
256_15,1,0,1,2,4,256,15
256_16,1,0,1,2,4,256,16
256_17,1,0,1,2,4,256,17
256_18,1,0,1,2,4,256,18
256_19,1,0,1,2,4,256,19
258_1,0,1,2,1,4,258,1
258_10,0,1,2,1,4,258,10
258_19,1,0,1,2,4,258,19
259_0,1,1,1,1,4,259,0
259_8,2,1,0,1,4,259,8
259_13,1,1,1,1,4,259,13
259_14,1,0,1,2,4,259,14
260_2,1,1,1,1,4,260,2
261_12,1,1,1,1,4,261,12
261_18,1,1,1,1,4,261,18
261_19,1,2,1,0,4,261,19
264_0,0,1,2,1,4,264,0
264_1,1,0,1,2,4,264,1
